instance;n;p;pc;pm;run;bestObjective;evaluations;timeMs;reachedOptimum
ap_50_2.txt;50;2;0,200;0,100;21;178484,285703;1013042;5358;true
ap_50_2.txt;50;2;0,200;0,100;22;178484,285703;1834238;9649;true
ap_50_2.txt;50;2;0,200;0,100;23;178484,285703;25398;133;true
ap_50_2.txt;50;2;0,200;0,100;24;178484,285703;98231;513;true
ap_50_2.txt;50;2;0,200;0,100;25;178484,285703;26071;136;true
ap_50_2.txt;50;2;0,200;0,100;26;178484,285703;69475;366;true
ap_50_2.txt;50;2;0,200;0,100;27;178548,982561;5000000;26329;false
ap_50_2.txt;50;2;0,200;0,100;28;178484,285703;59654;310;true
ap_50_2.txt;50;2;0,200;0,100;29;178548,982561;5000000;26251;false
ap_50_2.txt;50;2;0,200;0,100;30;178548,982561;5000000;26350;false
ap_50_2.txt;50;2;0,400;0,010;1;178548,982561;5000000;25534;false
ap_50_2.txt;50;2;0,400;0,010;2;178548,982561;5000000;25837;false
ap_50_2.txt;50;2;0,400;0,010;3;178484,285703;14906;77;true
ap_50_2.txt;50;2;0,400;0,010;4;178484,285703;3402;18;true
ap_50_2.txt;50;2;0,400;0,010;5;178548,982561;5000000;25442;false
ap_50_2.txt;50;2;0,400;0,010;6;178548,982561;5000000;25669;false
ap_50_2.txt;50;2;0,400;0,010;7;178484,285703;2460;13;true
ap_50_2.txt;50;2;0,400;0,010;8;178484,285703;29797;152;true
ap_50_2.txt;50;2;0,400;0,010;9;178548,982561;5000000;25512;false
ap_50_2.txt;50;2;0,400;0,010;10;178548,982561;5000000;25472;false
ap_50_2.txt;50;2;0,400;0,010;11;178484,285703;18756;95;true
ap_50_2.txt;50;2;0,400;0,010;12;178548,982561;5000000;25608;false
ap_50_2.txt;50;2;0,400;0,010;13;178548,982561;5000000;25560;false
ap_50_2.txt;50;2;0,400;0,010;14;178484,285703;3579;18;true
ap_50_2.txt;50;2;0,400;0,010;15;178484,285703;6594;34;true
ap_50_2.txt;50;2;0,400;0,010;16;178548,982561;5000000;25669;false
ap_50_2.txt;50;2;0,400;0,010;17;178548,982561;5000000;25524;false
ap_50_2.txt;50;2;0,400;0,010;18;178484,285703;6625;33;true
ap_50_2.txt;50;2;0,400;0,010;19;178484,285703;8733;44;true
ap_50_2.txt;50;2;0,400;0,010;20;178484,285703;15319;78;true
ap_50_2.txt;50;2;0,400;0,010;21;178548,982561;5000000;25711;false
ap_50_2.txt;50;2;0,400;0,010;22;178484,285703;2884;15;true
ap_50_2.txt;50;2;0,400;0,010;23;178548,982561;5000000;25576;false
ap_50_2.txt;50;2;0,400;0,010;24;178548,982561;5000000;25506;false
ap_50_2.txt;50;2;0,400;0,010;25;178548,982561;5000000;25566;false
